SampleID	CONTIG COUNT 	TOTAL LENGTH 	MIN 	MAX 	MEDIAN 	MEAN 	L50 	N50 	L90 	N90 	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
All	12377	39901342	500	172012	1690	3223.83	1716	5814	7523	1264	62.8	61.4	61.4	61.4	24.8	12.4	290
MeiosporeDNA	7837	25061939	500	37025	1707	3197.90	1237	5816	4753	1273	NA	NA	NA	NA	NA	NA	NA
OrangeDNA	7424	21807715	500	30249	1657	2937.46	1203	5124	4674	1193	NA	NA	NA	NA	NA	NA	NA
